a,b,c,d,br
0.015860893,-0.104748498,-0.076325816,0.101455219,1
0.165008247,-1.10052165,-0.117488407,-0.236846701,1
-0.075549068,-0.317830433,-0.02495178,0.321295067,1
0.060185027,-0.113596542,-0.024930927,-0.109895084,1
0.029229796,-0.037390932,-0.017009379,0.435082686,1
-0.002913224,-0.035372768,-0.015652156,0.286033767,1
0.033914031,-0.035688861,-0.040319193,0.100733399,1
-0.068109923,0.266336516,0.075535014,0.400626102,1
0.284293102,-0.428986125,-0.175223559,0.267083761,1
-0.003536786,-0.416899119,-0.124376193,-0.002851566,1
0.310916574,-2.712988985,0.151895472,-0.953642179,1
0.48125293,-0.432608987,-0.069162258,0.822420143,1
-1.233341369,-0.68827366,0.121929966,-0.390164391,1
-0.007082784,0.021808498,0.06476983,0.496510414,1
0.06561592,0.345470652,0.039588995,0.530679287,1
0.120636865,-0.120024495,-0.364972443,-0.482547459,1
-0.041668001,1.294342997,0.081763575,0.197561269,1
0.085560325,-11.84860935,-0.02344971,0.169787637,1
0.158988797,-0.034277195,0.000969581,0.608085816,1
0.066393483,-0.93090142,-0.18213537,-0.131897475,1
-0.085831897,-0.674444817,-0.318833359,-0.172521378,1
-1.007047889,-12.29126607,0.396359108,-0.990903765,1
-3.094295693,-17.4887078,-7.739464494,-3.068684517,1
-4.11410409,-26.49015245,-0.351471534,-4.476278684,1
0.374641524,-0.02322201,0,0.125757071,1
0.404572326,-10.63957272,-6.267900719,0.031991028,1
-2.609972867,-5.777415319,-1.69579027,-1.903772485,1
-0.320027217,-1.804455921,-0.39895668,-0.031351955,1
0.166780698,-1.612353317,-0.655250131,0.00969936,1
-0.726212203,-2.727789053,-0.569067469,-0.258033902,1
0.124227191,-0.672733576,-0.216097533,0.047177443,1
0.226670879,0.108631157,-0.164052413,0.38375958,1
-0.009137186,0.17730941,0.060410073,0.308718967,0
0.169526558,0.544965291,0.095468372,0.593440449,0
0.003020164,0.404778814,0.090755004,0.640785389,0
-0.038487974,0.16421839,0.100222628,0.225680447,0
0.112184755,1.10740907,0.191947673,0.509113419,0
0.163708849,0.065466359,-0.073342158,0.809438464,0
0.516280478,0.095407652,0.163682727,0.838299062,0
0.032240478,0.498428277,0.156513528,0.262300731,0
0.047297978,0.539443562,0.101710411,0.666047736,0
-0.181558678,-10.33205784,-0.513308937,-0.091044967,0
0.155841648,0.523351199,0.267564126,0.766126978,0
0.487177538,0.389781466,0.091858479,0.612054896,0
0.336250013,0.151199898,0.228061398,0.559553077,0
0.402249155,0.821797732,0.190005289,0.662428641,0
0.106975286,-0.329668433,-0.496524421,0.174902214,0
1.368629318,0.080863129,0.478657693,0.521342307,0
-0.086346564,0.032116144,0.743226818,0.23316523,0
-0.17335595,0.026653303,-0.142071687,1.142071687,0
0.186264374,0.07220261,0.613228453,0.386771547,0
0.563423373,0.059215236,0.541295614,0.458704386,0
-0.387829886,-0.154584401,0.419202859,0.580797141,0
-0.054714009,-0.059057648,0.083584745,0.916415255,0
-3.850721515,10.21717446,-0.852904192,1.852904192,0
-1.556543195,0.069414133,0.54255694,0.45744306,0
0.422206011,0.162688611,0.742645676,0.257354324,0
-0.642782808,0.011805339,0.005811609,0.994188391,0
-15.90437806,-0.159538412,-0.218693775,1.218693775,0
-3.459698276,-1.148275862,0.871390086,0.128609914,0
0.46391812,-0.048221485,0.44803895,0.55196105,0
0.587296084,0.201916328,0.690148587,0.309851413,0
-0.018395983,0.00054591,0.951482957,0.048517043,0
-0.47161456,-0.055265256,-0.059250731,1.059250731,0